CCL	Drug	AUC
CCL_61	Drug_11	0.7153
CCL_61	Drug_1	0.9579
CCL_61	Drug_2	0.413
CCL_61	Drug_3	0.8004
CCL_61	Drug_4	0.5071
CCL_61	Drug_5	0.5743
CCL_61	Drug_6	0.9335
CCL_61	Drug_7	0.6626
CCL_61	Drug_8	0.8823
CCL_61	Drug_9	0.3971
CCL_61	Drug_10	0.7019
CCL_61	Drug_17	0.8517
CCL_61	Drug_12	0.8756
CCL_61	Drug_13	0.794
CCL_61	Drug_14	0.7862
CCL_61	Drug_15	0.8219
CCL_61	Drug_16	0.945
CCL_61	Drug_18	0.6525
CCL_61	Drug_19	0.9074
CCL_61	Drug_20	0.8148
CCL_61	Drug_21	0.8261
CCL_61	Drug_22	0.9526
CCL_61	Drug_23	0.8051
CCL_61	Drug_24	0.8944
CCL_65	Drug_11	0.8126
CCL_65	Drug_1	0.6385
CCL_65	Drug_2	0.4959
CCL_65	Drug_3	0.8822
CCL_65	Drug_5	0.4573
CCL_65	Drug_6	0.8691
CCL_65	Drug_7	0.7881
CCL_65	Drug_9	0.317
CCL_65	Drug_10	0.8527
CCL_65	Drug_12	0.845
CCL_65	Drug_14	0.7425
CCL_65	Drug_15	0.7088
CCL_65	Drug_16	0.8576
CCL_65	Drug_18	0.458
CCL_65	Drug_19	0.8025
CCL_65	Drug_20	0.8564
CCL_65	Drug_21	0.9051
CCL_65	Drug_22	0.7567
CCL_65	Drug_23	0.888
CCL_65	Drug_24	0.8316
CCL_66	Drug_11	0.7833
CCL_66	Drug_1	0.8259
CCL_66	Drug_2	0.4646
CCL_66	Drug_3	0.8076
CCL_66	Drug_4	0.4997
CCL_66	Drug_5	0.5341
CCL_66	Drug_6	0.9373
CCL_66	Drug_7	0.7801
CCL_66	Drug_8	0.977
CCL_66	Drug_9	0.2625
CCL_66	Drug_10	0.9002
CCL_66	Drug_17	0.8121
CCL_66	Drug_12	0.8431
CCL_66	Drug_13	0.7190000000000001
CCL_66	Drug_14	0.7288
CCL_66	Drug_15	0.7909999999999999
CCL_66	Drug_16	0.7186
CCL_66	Drug_18	0.5391
